511,WISBECH,10.12.214.229
512,KIRKBY IN ASHFIELD,10.12.216.229
516,BARRACK STREET,10.12.218.229
518,HOUGHTON REGIS - STORE,10.241.146.229
520,FAVERSHAM,10.19.204.229
522,PORTSMOUTH (VICTORY RETAIL PARK),10.12.220.229
527,MITCHAM,10.19.176.229
533,ELLAND,10.12.92.229
538,NAILSWORTH,10.12.182.229
539,NEW MILTON,10.19.192.229
540,OSWESTRY,10.12.184.229
545,EDGBASTON,10.12.230.229
546,EASTBOURNE,10.12.232.229
547,LEAMINGTON SPA,10.11.138.229
549,HARROW,10.11.130.229
551,MIDDLEWICH,10.12.112.229
552,COLESHILL,10.12.106.229
553,ALDERSHOT,10.12.72.229
554,SHELDON,10.11.142.229
555,BACUP,10.12.78.229
556,NORTH QUAY LOWESTOFT,10.12.76.229
557,PRESTON,10.11.86.229
558,SITTINGBOURNE,10.12.102.229
559,WELLS,10.11.132.229
560,TEIGNMOUTH,10.19.10.229
561,TELFORD LAWLEY,10.12.108.229
563,DONCASTER BALBY,10.11.52.229
567,BLAYDON,10.11.12.229
571,HODDESDON,10.11.66.229
572,SHEPPEY,10.19.18.229
573,BARGOED,10.11.68.229
574,POYNTON,10.19.196.229
575,GLOUCESTER - METZ WAY,10.11.106.229
576,CROYDON,10.19.16.229
580,WORKSOP,10.11.82.229
582,KIRKCALDY,10.11.88.229
583,BROUGH,10.11.196.229
585,Acocks Green,10.241.154.229
586,WATFORD,10.11.118.229
598,WELSHPOOL,10.28.216.229
605,RAMSBOTTOM,10.12.186.229
607,ROYSTON,10.19.178.229
608,SHEFFORD,10.12.160.229
628,BEDFORD,10.11.56.229
630,LITTLEHAMPTON,10.19.224.229
633,SOUTHWARK,10.19.170.229
634,SWINDON - DORCAN WAY,10.11.112.229
635,GUISBOROUGH,10.20.188.229
639,CRAWLEY,10.19.162.229
640,VERWOOD,10.11.32.229
641,WORTHING,10.19.190.229
642,LARKFIELD,10.12.172.229
643,MARGATE,10.12.196.229
644,ST IVES,10.241.152.229
647,BANCHORY,10.12.188.229
650,LOUTH,10.12.170.229
651,MAGHULL,10.19.168.229
652,PORTH,10.12.174.229
655,WYMONDHAM,10.11.22.229
672,CARTERTON,10.11.116.229
674,ILKESTON,10.19.56.229
677,SALTNEY,10.240.78.229
678,WESTBURY,10.240.120.229
691,KIDDERMINSTER,10.240.108.229
692,LLANELLI,10.28.246.229
693,GIFFNOCK,10.240.106.229
694,HAREHILLS,10.12.45.229
